study_accession	run_accession	scientific_name	instrument_model	library_name	library_layout	library_strategy	read_count
PRJNA485056	SRR7658625	gut metagenome	Illumina HiSeq 2500	V50_02_1FE	PAIRED	WGS	20435789
PRJNA485056	SRR7658626	gut metagenome	Illumina HiSeq 2500	A34_02_1FE	PAIRED	WGS	20066307
PRJNA485056	SRR7658627	gut metagenome	Illumina HiSeq 2500	A14_01_1FE	PAIRED	WGS	26576562
PRJNA485056	SRR7658628	gut metagenome	Illumina HiSeq 2500	A36_01_1FE	PAIRED	WGS	25981052
PRJNA485056	SRR7658629	gut metagenome	Illumina HiSeq 2500	A72_02_1FE	PAIRED	WGS	16405757
PRJNA485056	SRR7658630	gut metagenome	Illumina HiSeq 2500	A85_01_1FE	PAIRED	WGS	16565404
PRJNA485056	SRR7658631	gut metagenome	Illumina HiSeq 2500	A40_02_1FE	PAIRED	WGS	17408177
PRJNA485056	SRR7658632	gut metagenome	Illumina HiSeq 2500	A01_02_1FE	PAIRED	WGS	17675992
PRJNA485056	SRR7658633	gut metagenome	Illumina HiSeq 2500	A19_01_1FE	PAIRED	WGS	18499718
PRJNA485056	SRR7658634	gut metagenome	Illumina HiSeq 2500	A42_02_1FE	PAIRED	WGS	18749497
PRJNA485056	SRR7658635	gut metagenome	Illumina HiSeq 2500	V19_02_2FE	PAIRED	WGS	19118594
PRJNA485056	SRR7658636	gut metagenome	Illumina HiSeq 2500	A41_01_1FE	PAIRED	WGS	19279405
PRJNA485056	SRR7658637	gut metagenome	Illumina HiSeq 2500	A39_02_1FE	PAIRED	WGS	19416507
PRJNA485056	SRR7658638	gut metagenome	Illumina HiSeq 2500	A81_01_1FE	PAIRED	WGS	20098539
PRJNA485056	SRR7658639	gut metagenome	Illumina HiSeq 2500	A73_02_1FE	PAIRED	WGS	64174168
PRJNA485056	SRR7658640	gut metagenome	Illumina HiSeq 2500	A93_01_1FE	PAIRED	WGS	76606185
PRJNA485056	SRR7658641	gut metagenome	Illumina HiSeq 2500	A92_01_1FE	PAIRED	WGS	56954840
PRJNA485056	SRR7658642	gut metagenome	Illumina HiSeq 2500	V30_01_1FE	PAIRED	WGS	57405794
PRJNA485056	SRR7658643	gut metagenome	Illumina HiSeq 2500	A83_02_1FE	PAIRED	WGS	54902533
PRJNA485056	SRR7658644	gut metagenome	Illumina HiSeq 2500	A04_04_1FE	PAIRED	WGS	55012833
PRJNA485056	SRR7658645	gut metagenome	Illumina HiSeq 2500	A55_02_1FE	PAIRED	WGS	61636477
PRJNA485056	SRR7658646	gut metagenome	Illumina HiSeq 2500	V01_01_1FE	PAIRED	WGS	63707975
PRJNA485056	SRR7658647	gut metagenome	Illumina HiSeq 2500	A79_02_1FE	PAIRED	WGS	60991317
PRJNA485056	SRR7658648	gut metagenome	Illumina HiSeq 2500	A95_01_1FE	PAIRED	WGS	61130876
PRJNA485056	SRR7658649	gut metagenome	Illumina HiSeq 2500	A62_01_1FE	PAIRED	WGS	35435585
PRJNA485056	SRR7658650	gut metagenome	Illumina HiSeq 2500	A47_02_1FE	PAIRED	WGS	35109795
PRJNA485056	SRR7658651	gut metagenome	Illumina HiSeq 2500	A39_01_1FE	PAIRED	WGS	34623409
PRJNA485056	SRR7658652	gut metagenome	Illumina HiSeq 2500	A69_01_1FE	PAIRED	WGS	34183610
PRJNA485056	SRR7658653	gut metagenome	Illumina HiSeq 2500	A08_01_1FE	PAIRED	WGS	34970897
PRJNA485056	SRR7658654	gut metagenome	Illumina HiSeq 2500	A90_03_1FE	PAIRED	WGS	35076329
PRJNA485056	SRR7658655	gut metagenome	Illumina HiSeq 2500	V54_01_1FE	PAIRED	WGS	30395474
PRJNA485056	SRR7658656	gut metagenome	Illumina HiSeq 2500	A94_03_1FE	PAIRED	WGS	30030412
PRJNA485056	SRR7658657	gut metagenome	Illumina HiSeq 2500	A15_02_1FE	PAIRED	WGS	31280401
PRJNA485056	SRR7658658	gut metagenome	Illumina HiSeq 2500	A69_02_1FE	PAIRED	WGS	31415800
PRJNA485056	SRR7658659	gut metagenome	Illumina HiSeq 2500	A89_01_1FE	PAIRED	WGS	44564379
PRJNA485056	SRR7658660	gut metagenome	Illumina HiSeq 2500	A59_01_1FE	PAIRED	WGS	43845599
PRJNA485056	SRR7658661	gut metagenome	Illumina HiSeq 2500	V40_01_1FE	PAIRED	WGS	43487075
PRJNA485056	SRR7658662	gut metagenome	Illumina HiSeq 2500	A68_01_1FE	PAIRED	WGS	43387746
PRJNA485056	SRR7658663	gut metagenome	Illumina HiSeq 2500	V18_02_1FE	PAIRED	WGS	47584080
PRJNA485056	SRR7658664	gut metagenome	Illumina HiSeq 2500	V53_02_1FE	PAIRED	WGS	45993752
PRJNA485056	SRR7658665	gut metagenome	Illumina HiSeq 2500	V31_01_2FE	PAIRED	WGS	44917218
PRJNA485056	SRR7658666	gut metagenome	Illumina HiSeq 2500	A75_02_1FE	PAIRED	WGS	45127211
PRJNA485056	SRR7658667	gut metagenome	Illumina HiSeq 2500	A09_02_1FE	PAIRED	WGS	114895391
PRJNA485056	SRR7658668	gut metagenome	Illumina HiSeq 2500	A28_02_1FE	PAIRED	WGS	86144528
PRJNA485056	SRR7658669	gut metagenome	Illumina HiSeq 2500	A90_04_1FE	PAIRED	WGS	50950069
PRJNA485056	SRR7658670	gut metagenome	Illumina HiSeq 2500	A88_02_1FE	PAIRED	WGS	48147759
PRJNA485056	SRR7658671	gut metagenome	Illumina HiSeq 2500	A89_02_1FE	PAIRED	WGS	29756528
PRJNA485056	SRR7658672	gut metagenome	Illumina HiSeq 2500	A09_01_1FE	PAIRED	WGS	29881267
PRJNA485056	SRR7658673	gut metagenome	Illumina HiSeq 2500	A94_02_1FE	PAIRED	WGS	29221860
PRJNA485056	SRR7658674	gut metagenome	Illumina HiSeq 2500	A46_01_1FE	PAIRED	WGS	29735034
PRJNA485056	SRR7658675	gut metagenome	Illumina HiSeq 2500	A66_02_1FE	PAIRED	WGS	28174695
PRJNA485056	SRR7658676	gut metagenome	Illumina HiSeq 2500	A11_01_1FE	PAIRED	WGS	28503258
PRJNA485056	SRR7658677	gut metagenome	Illumina HiSeq 2500	V19_01_2FE	PAIRED	WGS	27216058
PRJNA485056	SRR7658678	gut metagenome	Illumina HiSeq 2500	A13_01_1FE	PAIRED	WGS	27480118
PRJNA485056	SRR7658679	gut metagenome	Illumina HiSeq 2500	A56_01_1FE	PAIRED	WGS	26728014
PRJNA485056	SRR7658680	gut metagenome	Illumina HiSeq 2500	A23_01_1FE	PAIRED	WGS	27207025
PRJNA485056	SRR7658681	gut metagenome	Illumina HiSeq 2500	A58_01_1FE	PAIRED	WGS	8245739
PRJNA485056	SRR7658682	gut metagenome	Illumina HiSeq 2500	A20_01_1FE	PAIRED	WGS	8182338
PRJNA485056	SRR7658683	gut metagenome	Illumina HiSeq 2500	A36_02_1FE	PAIRED	WGS	6939260
PRJNA485056	SRR7658684	gut metagenome	Illumina HiSeq 2500	A35_01_1FE	PAIRED	WGS	6682595
PRJNA485056	SRR7658685	gut metagenome	Illumina HiSeq 2500	A48_01_1FE	PAIRED	WGS	6334683
PRJNA485056	SRR7658686	gut metagenome	Illumina HiSeq 2500	A22_01_1FE	PAIRED	WGS	5618067
PRJNA485056	SRR7658687	gut metagenome	Illumina HiSeq 2500	A02_01_1FE	PAIRED	WGS	8216235
PRJNA485056	SRR7658688	gut metagenome	Illumina HiSeq 2500	A10_02_1FE	PAIRED	WGS	8083436
PRJNA485056	SRR7658689	gut metagenome	Illumina HiSeq 2500	A45_02_1FE	PAIRED	WGS	7838016
PRJNA485056	SRR7658690	gut metagenome	Illumina HiSeq 2500	V06_02_1FE	PAIRED	WGS	7712108
